NumPolys = 505

QuadrangleId = 0
15054 307.57 413.5 31.8
12274 293 413.5 31.8
12294 293 323.5 31.8
15047 307.57 323.5 31.8

QuadrangleId = 211
n_id   x   y   z
34229 328.5 413.5 24
34146 307.57 413.5 24
34139 307.57 323.5 24
34182 328.5 323.5 24

QuadrangleId = 212
n_id   x   y   z
34146 307.57 413.5 24
33840 293 413.5 24
33860 293 323.5 24
34139 307.57 323.5 24

QuadrangleId = 221
n_id   x   y   z
11454 328.5 163.5 31.8
11425 307.57 163.5 31.8
11418 307.57 73.5 31.8
11440 328.5 73.5 31.8

QuadrangleId = 222
n_id   x   y   z
11425 307.57 163.5 31.8
8645 293 163.5 31.8
8665 293 73.5 31.8
11418 307.57 73.5 31.8

QuadrangleId = 223
n_id   x   y   z
30749 328.5 163.5 24
30666 307.57 163.5 24
30659 307.57 73.5 24
30702 328.5 73.5 24

QuadrangleId = 224
n_id   x   y   z
30666 307.57 163.5 24
30360 293 163.5 24
30380 293 73.5 24
30659 307.57 73.5 24

QuadrangleId = 233
n_id   x   y   z
4088 471.5 -176.5 31.8
3998 400 -176.5 31.8
3996 400 -199.833 31.8
4086 471.5 -199.833 31.8

QuadrangleId = 234
n_id   x   y   z
4086 471.5 -199.833 31.8
3996 400 -199.833 31.8
194 400 -234 31.8
240 471.5 -234 31.8

QuadrangleId = 235
n_id   x   y   z
240 471.5 -234 31.8
194 400 -234 31.8
193 400 -256.5 31.8
239 471.5 -256.5 31.8

QuadrangleId = 236
n_id   x   y   z
8267 471.5 -176.5 24
8177 400 -176.5 24
8175 400 -199.833 24
8265 471.5 -199.833 24

QuadrangleId = 237
n_id   x   y   z
8265 471.5 -199.833 24
8175 400 -199.833 24
7726 400 -234 24
7768 471.5 -234 24

QuadrangleId = 238
n_id   x   y   z
7768 471.5 -234 24
7726 400 -234 24
7725 400 -256.5 24
7767 471.5 -256.5 24

QuadrangleId = 239
n_id   x   y   z
3998 400 -176.5 31.8
3896 328.5 -176.5 31.8
3894 328.5 -199.833 31.8
3996 400 -199.833 31.8

QuadrangleId = 240
n_id   x   y   z
3996 400 -199.833 31.8
3894 328.5 -199.833 31.8
146 328.5 -234 31.8
194 400 -234 31.8

QuadrangleId = 241
n_id   x   y   z
194 400 -234 31.8
146 328.5 -234 31.8
145 328.5 -256.5 31.8
193 400 -256.5 31.8

QuadrangleId = 242
n_id   x   y   z
8177 400 -176.5 24
8024 328.5 -176.5 24
8022 328.5 -199.833 24
8175 400 -199.833 24

QuadrangleId = 243
n_id   x   y   z
8175 400 -199.833 24
8022 328.5 -199.833 24
7677 328.5 -234 24
7726 400 -234 24

QuadrangleId = 244
n_id   x   y   z
7726 400 -234 24
7677 328.5 -234 24
7676 328.5 -256.5 24
7725 400 -256.5 24

QuadrangleId = 245
n_id   x   y   z
3910 328.5 -86.5 31.8
3881 307.57 -86.5 31.8
3874 307.57 -176.5 31.8
3896 328.5 -176.5 31.8

QuadrangleId = 246
n_id   x   y   z
3881 307.57 -86.5 31.8
133 293 -86.5 31.8
155 293 -176.5 31.8
3874 307.57 -176.5 31.8

QuadrangleId = 247
n_id   x   y   z
8071 328.5 -86.5 24
7988 307.57 -86.5 24
7981 307.57 -176.5 24
8024 328.5 -176.5 24

QuadrangleId = 248
n_id   x   y   z
7988 307.57 -86.5 24
7664 293 -86.5 24
7686 293 -176.5 24
7981 307.57 -176.5 24

QuadrangleId = 249
n_id   x   y   z
3896 328.5 -176.5 31.8
3874 307.57 -176.5 31.8
3872 307.57 -199.988 31.8
3894 328.5 -199.833 31.8

QuadrangleId = 250
n_id   x   y   z
3874 307.57 -176.5 31.8
155 293 -176.5 31.8
118 293 -199.833 31.8
3872 307.57 -199.988 31.8

QuadrangleId = 251
n_id   x   y   z
3894 328.5 -199.833 31.8
3872 307.57 -199.988 31.8
114 307.57 -234 31.8
146 328.5 -234 31.8

QuadrangleId = 252
n_id   x   y   z
3872 307.57 -199.988 31.8
118 293 -199.833 31.8
124 293 -234 31.7998
114 307.57 -234 31.8

QuadrangleId = 253
n_id   x   y   z
146 328.5 -234 31.8
114 307.57 -234 31.8
112 307.57 -256.5 31.8
145 328.5 -256.5 31.8

QuadrangleId = 254
n_id   x   y   z
114 307.57 -234 31.8
124 293 -234 31.7998
4736 293 -256.5 31.7994
112 307.57 -256.5 31.8

QuadrangleId = 255
n_id   x   y   z
8024 328.5 -176.5 24
7981 307.57 -176.5 24
7979 307.57 -199.988 24
8022 328.5 -199.833 24

QuadrangleId = 256
n_id   x   y   z
7981 307.57 -176.5 24
7686 293 -176.5 24
7649 293 -199.833 24
7979 307.57 -199.988 24

QuadrangleId = 257
n_id   x   y   z
8022 328.5 -199.833 24
7979 307.57 -199.988 24
7645 307.57 -234 24
7677 328.5 -234 24

QuadrangleId = 258
n_id   x   y   z
7979 307.57 -199.988 24
7649 293 -199.833 24
7655 293 -234 23.9998
7645 307.57 -234 24

QuadrangleId = 259
n_id   x   y   z
7677 328.5 -234 24
7645 307.57 -234 24
7643 307.57 -256.5 24
7676 328.5 -256.5 24

QuadrangleId = 260
n_id   x   y   z
7645 307.57 -234 24
7655 293 -234 23.9998
8542 293 -256.5 23.9994
7643 307.57 -256.5 24

QuadrangleId = 261
n_id   x   y   z
4229 543 -6.50004 31.8
4124 471.5 -6.50004 31.8
266 471.5 -29 31.8
341 543 -29.0001 31.8

QuadrangleId = 262
n_id   x   y   z
341 543 -29.0001 31.8
266 471.5 -29 31.8
4115 471.5 -63.1668 31.8
4220 543 -63.1668 31.8

QuadrangleId = 263
n_id   x   y   z
4220 543 -63.1668 31.8
4115 471.5 -63.1668 31.8
4109 471.5 -86.5 31.8
4214 543 -86.5 31.8

QuadrangleId = 264
n_id   x   y   z
8444 543 -6.50004 24
8331 471.5 -6.50004 24
7787 471.5 -29 24
7832 543 -29.0001 24

QuadrangleId = 265
n_id   x   y   z
7832 543 -29.0001 24
7787 471.5 -29 24
8294 471.5 -63.1668 24
8435 543 -63.1668 24

QuadrangleId = 266
n_id   x   y   z
8435 543 -63.1668 24
8294 471.5 -63.1668 24
8288 471.5 -86.5 24
8429 543 -86.5 24

QuadrangleId = 267
n_id   x   y   z
4276 580 -86.5 31.8
4255 564.7 -86.5 31.8
4241 564.7 -176.5 31.8
4269 580 -176.5 31.8

QuadrangleId = 268
n_id   x   y   z
4255 564.7 -86.5 31.8
4214 543 -86.5 31.8
4193 543 -176.5 31.8
4241 564.7 -176.5 31.8

QuadrangleId = 269
n_id   x   y   z
8491 580 -86.5 24
8470 564.7 -86.5 24
8456 564.7 -176.5 24
8484 580 -176.5 24

QuadrangleId = 270
n_id   x   y   z
8470 564.7 -86.5 24
8429 543 -86.5 24
8408 543 -176.5 24
8456 564.7 -176.5 24

QuadrangleId = 271
n_id   x   y   z
386 580 -6.50005 31.8
4265 564.7 -6.50005 31.8
368 564.7 -29.0001 31.8
385 580 -29.0001 31.8

QuadrangleId = 272
n_id   x   y   z
4265 564.7 -6.50005 31.8
4229 543 -6.50004 31.8
341 543 -29.0001 31.8
368 564.7 -29.0001 31.8

QuadrangleId = 273
n_id   x   y   z
385 580 -29.0001 31.8
368 564.7 -29.0001 31.8
4259 564.7 -63.1668 31.8
383 580 -62.4114 31.8

QuadrangleId = 274
n_id   x   y   z
368 564.7 -29.0001 31.8
341 543 -29.0001 31.8
4220 543 -63.1668 31.8
4259 564.7 -63.1668 31.8

QuadrangleId = 275
n_id   x   y   z
383 580 -62.4114 31.8
4259 564.7 -63.1668 31.8
4255 564.7 -86.5 31.8
4276 580 -86.5 31.8

QuadrangleId = 276
n_id   x   y   z
4259 564.7 -63.1668 31.8
4220 543 -63.1668 31.8
4214 543 -86.5 31.8
4255 564.7 -86.5 31.8

QuadrangleId = 277
n_id   x   y   z
7857 580 -6.50005 24
8480 564.7 -6.50005 24
7846 564.7 -29.0001 24
7856 580 -29.0001 24

QuadrangleId = 278
n_id   x   y   z
8480 564.7 -6.50005 24
8444 543 -6.50004 24
7832 543 -29.0001 24
7846 564.7 -29.0001 24

QuadrangleId = 279
n_id   x   y   z
7856 580 -29.0001 24
7846 564.7 -29.0001 24
8474 564.7 -63.1668 24
7854 580 -62.4114 24

QuadrangleId = 280
n_id   x   y   z
7846 564.7 -29.0001 24
7832 543 -29.0001 24
8435 543 -63.1668 24
8474 564.7 -63.1668 24

QuadrangleId = 281
n_id   x   y   z
7854 580 -62.4114 24
8474 564.7 -63.1668 24
8470 564.7 -86.5 24
8491 580 -86.5 24

QuadrangleId = 282
n_id   x   y   z
8474 564.7 -63.1668 24
8435 543 -63.1668 24
8429 543 -86.5 24
8470 564.7 -86.5 24

QuadrangleId = 287
n_id   x   y   z
11815 580 163.5 31.8
11794 564.7 163.5 31.8
11780 564.7 73.5 31.8
11808 580 73.5 31.8

QuadrangleId = 288
n_id   x   y   z
11794 564.7 163.5 31.8
11755 543 163.5 31.8
11734 543 73.5 31.8
11780 564.7 73.5 31.8

QuadrangleId = 289
n_id   x   y   z
31164 580 163.5 24
31143 564.7 163.5 24
31129 564.7 73.5 24
31157 580 73.5 24

QuadrangleId = 290
n_id   x   y   z
31143 564.7 163.5 24
31104 543 163.5 24
31083 543 73.5 24
31129 564.7 73.5 24

QuadrangleId = 299
n_id   x   y   z
15444 580 413.5 31.8
15423 564.7 413.5 31.8
15409 564.7 323.5 31.8
15437 580 323.5 31.8

QuadrangleId = 300
n_id   x   y   z
15423 564.7 413.5 31.8
15384 543 413.5 31.8
15363 543 323.5 31.8
15409 564.7 323.5 31.8

QuadrangleId = 301
n_id   x   y   z
34644 580 413.5 24
34623 564.7 413.5 24
34609 564.7 323.5 24
34637 580 323.5 24

QuadrangleId = 302
n_id   x   y   z
34623 564.7 413.5 24
34584 543 413.5 24
34563 543 323.5 24
34609 564.7 323.5 24

QuadrangleId = 311
n_id   x   y   z
19073 580 663.5 31.8
